id,type,text1,text2,text3,notes,Column 07,Column 08
TDB_changkongpod_l,WEAPON,长空导弹发射舱的大型版本，但和其他的大型导弹走的是扩容更大弹仓路线不同，这款导弹是换装了更加先进的纳米锻炉——这使得她在战场上能以一定的密度持续向敌军投送火力。和中槽版本一致，其也是用高昂的幅能代价换取无与伦比的支援压制能力。,,,,,
,,,,,,,
TDB_shuang_jiang,WEAPON,霜降防空炮搭载了先进的火控系统，这使得她不论是面对导弹还是战机都显得游刃有余。,,,,,
,,,,,,,
TDB_hu_luo_bo1,WEAPON,内置于太阳雨级 无人武库舰 的垂发阵列能快速向敌人投射压制用导弹，巨大且先进的纳米锻炉可以保证她在高强度的战场持续投送火力。,,,,,
,,,,,,,
TDB_yin_hua,WEAPON,一种高能脉冲炮，拥有足够可观的近距离火力投射，但耗能与射程是短板，不过作为一款突击爆发类型武器这些短板真的重要吗？,,,,,
,,,,,,,
TDB_fang_tang,WEAPON,同霜糖一样，方糖是一款自供能武器站系统，在尽可能的保证超高精度的同时使用自供能方案的代价就是低到离谱的输出功率，因此它常用于拦截小型飞机和大多数的导弹，对稍大一些重型飞机和鱼雷方糖几乎毫无办法。,,,,,
,,,,,,,
TDB_han_tian,WEAPON,内置与寒天学者内的等离子炮，巨大的压缩阵列能将大量带电的粒子压缩并发射出去。在炮弹接触目标时，不稳定的能量弹头将瞬间释放巨量emp彻底瘫痪目标舰船的电子设备。,,,,,
,,,,,,,
TDB_hai_tong,WEAPON,一种小型压制干扰导弹发射挂架，配备了可靠的纳米锻炉为其持续提供弹药，但其的弹头体积注定了它很难瘫痪中型以上的目标。官方给出的使用建议是:用于在对付小型目标时瘫痪对方的引擎和小型武器阵列来达到压制的目的。,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
＃技能描述,,,,,,,
TDB_qu_dong,SHIP_SYSTEM,取消舰船碰撞进入时流模式，并极大幅度提高舰船机动性与小幅度的最高航速,,,,,
,,,,,,,
TDB_yq_gugu,SHIP_SYSTEM,为自身1000码范围内的友军提供20%的最高航速与护盾伤害减免，当其作为为旗舰时范围提升至1500码,,,,,
,,,,,,,
TDB_targetingfeed,SHIP_SYSTEM,根据不同机种提供不同加成，如果为支援机或战斗机则战机武器伤害提升70%，如果为拦截机则对导弹与飞机伤害翻倍，如果为轰炸机则获得30%的伤害抗性。,,,,,
,,,,,,,
TDB_targetingfeed2,SHIP_SYSTEM,启动超时空加速器，加快舰载机的时间流速。,,,,,
,,,,,,,
TDB_san_se_jin,SHIP_SYSTEM,大幅度提高机动性与最高航速，技能结束时依据幅能水平释放弹幕。,,,,,
,,,,,,,
TDB_ban_fei,SHIP_SYSTEM,起飞挂载于机身两侧的 泛光源 无人机，为本机提供护航。,,,,,
,,,,,,,
TDB_na_mi,SHIP_SYSTEM,允许纳米机器人开始自我复制，并立刻为灰风提供维修。,,,,,
,,,,,,,
TDB_tuxi,SHIP_SYSTEM,使舰船进入不稳定空间，通过不同空间的偏移来大幅度抵消受到的伤害并提高舰体1000质量，同时大幅度提高系统激活期间的舰船突进速度，但由于空间移动的不稳定性导致舰船机动性大幅度下降。,,,,,
,,,,,,,
TDB_li_zi_pao,SHIP_SYSTEM,激活光束炮的预充能电容进行过充能，使光束炮进行一次大功率输出。,,,,,
,,,,,,,
TDB_turretdeploy,SHIP_SYSTEM,向目标区域部署一个重型自动炮台协助组建防御，炮台类型根据协议的不同而不同。炮台搭载的微型驱动引擎可以支持炮台缓慢移动进行战术支援。,,,,,
TDB_turretdeploy2,SHIP_SYSTEM,向目标区域部署一个重型自动炮台协助组建防御，炮台类型根据协议的不同而不同。炮台搭载的微型驱动引擎可以支持炮台缓慢移动进行战术支援。,,,,,
,,,,,,,
TDB_shui_yin_deng_a,SHIP_SYSTEM,激活小型无人机打击系统，四架重型水银灯无人打击平台将会立刻起飞并掩护这艘母舰，当无人机被击毁后可由母舰的专用机库再生产。		,,,,,
TDB_shui_yin_deng_l,SHIP_SYSTEM,激活大型无人机防御阵列，十架重型水银灯无人防御平台将会立刻起飞并守护这艘母舰，当无人机被击毁后可由母舰的专用机库再生产。		,,,,,
TDB_shui_yin_deng,SHIP_SYSTEM,激活小型无人机防御系统，五架轻型水银灯无人防御平台将会立刻起飞并守护这艘母舰，当无人机被击毁后可由母舰的专用机库再生产。		,,,,,
,,,,,,,
TDB_piao_yi,SHIP_SYSTEM,进行一次紧急规避驱动，短时间内大幅增强机动与航速。,,,,,
,,,,,,,
TDB_dao_dan,SHIP_SYSTEM,经过一段时间的准备后部署8枚400能量伤害的相位鱼雷，鱼雷在靠近敌对舰船时自动上浮。,,,,,
,,,,,,,
TDB_wu_qi,SHIP_SYSTEM,启动热辐环流线圈，将武器开火的部分辐能回收并用于加强能量武器。但由于技术限制线圈的转化效率十分的低且启动期间会严重干扰引擎的运作。,,,,,
,,,,,,,
TDB_yq,SHIP_SYSTEM,通过现实透孔仪击穿空间建造的跃迁系统，跃迁结束后将会造成巨大的空间波动对非友军目标造成伤害，并且每次跃迁都有小概率恢复少量的舰体结构。,,,,,
,,,,,,,
TDB_SY,SHIP_SYSTEM,使舰载雷达全功率运转，在一定时间内提供3000码距离的视野扫描。特殊的雷达波将会干扰1500码范围内敌对相位舰船的相位线圈使相位波动硬幅能阈值降低50%,,,,,
,,,,,,,
TDB_FortressShieldStats,SHIP_SYSTEM,为护盾核心提供超额能量供给强化护盾盾效，使护盾所受伤害减少百分之50，期间持续增长硬幅能。,,,,,
,,,,,,,
TDB_canister_flak,SHIP_SYSTEM,为机身所有炮台装填特制对空弹药，并立刻开火形成弹幕撕裂来袭的敌机与导弹。,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
